ITE00100550,18360108,TMAX,-4,,,E,
ITE00100550,18360108,TMIN,-48,,,E,
ITE00100550,18360108,PRCP,0,,,E,
EZE00100082,18360108,TMAX,-84,,,E,
EZE00100082,18360108,TMIN,-127,,,E,
EZE00100082,18360108,PRCP,2,,,E,
ASN00066046,18360108,PRCP,0,,,a,
BE000006447,18360108,TMAX,48,,,I,
BE000006447,18360108,TMIN,-15,,,I,
ITE00100554,18360109,TMAX,-28,,,E,
ITE00100554,18360109,TMIN,-94,,,E,
GM000004204,18360109,TMAX,-31,,,E,
GM000004204,18360109,TMIN,-105,,,E,
GM000004204,18360109,PRCP,4,,,E,
ITE00105250,18360109,PRCP,0,,,E,
ITE00100552,18360109,PRCP,0,,,E,
ITE00100550,18360109,TMAX,-25,,,E,
ITE00100550,18360109,TMIN,-49,,,E,
ITE00100550,18360109,PRCP,0,,,E,
EZE00100082,18360109,TMAX,-83,,,E,
EZE00100082,18360109,TMIN,-145,,,E,
EZE00100082,18360109,PRCP,0,,,E,
ASN00066046,18360109,PRCP,0,,,a,
BE000006447,18360109,TMAX,7,,,I,
BE000006447,18360109,TMIN,-51,,,I,
ITE00100554,18360110,TMAX,-29,,,E,
ITE00100554,18360110,TMIN,-45,,,E,
GM000004204,18360110,TMAX,-50,,,E,
GM000004204,18360110,TMIN,-128,,,E,
GM000004204,18360110,PRCP,1,,,E,
ITE00105250,18360110,PRCP,62,,,E,
ITE00100552,18360110,PRCP,99,,,E,
ITE00100550,18360110,TMAX,-4,,,E,
ITE00100550,18360110,TMIN,-40,,,E,
ITE00100550,18360110,PRCP,0,,,E,
EZE00100082,18360110,TMAX,-51,,,E,
EZE00100082,18360110,TMIN,-105,,,E,
EZE00100082,18360110,PRCP,0,,,E,
ASN00066046,18360110,PRCP,0,,,a,
BE000006447,18360110,TMAX,57,,,I,
BE000006447,18360110,TMIN,-69,,,I,
ITE00100554,18360111,TMAX,-10,,,E,
ITE00100554,18360111,TMIN,-26,,,E,
GM000004204,18360111,TMAX,9,,,E,
GM000004204,18360111,TMIN,-50,,,E,
GM000004204,18360111,PRCP,0,,,E,
ITE00105250,18360111,PRCP,0,,,E,
ITE00100552,18360111,PRCP,223,,,E,
ITE00100550,18360111,TMAX,15,,,E,
ITE00100550,18360111,TMIN,-19,,,E,
ITE00100550,18360111,PRCP,0,,,E,
EZE00100082,18360111,TMAX,-36,,,E,
EZE00100082,18360111,TMIN,-97,,,E,
EZE00100082,18360111,PRCP,0,,,E,
ASN00066046,18360111,PRCP,0,,,a,
BE000006447,18360111,TMAX,66,,,I,
BE000006447,18360111,TMIN,-23,,,I,
ITE00100554,18360112,TMAX,6,,,E,
ITE00100554,18360112,TMIN,-18,,,E,
GM000004204,18360112,TMAX,45,,,E,
GM000004204,18360112,TMIN,3,,,E,
GM000004204,18360112,PRCP,24,,,E,
ITE00105250,18360112,PRCP,0,,,E,
ITE00100552,18360112,PRCP,1,,,E,
ITE00100550,18360112,TMAX,33,,,E,
ITE00100550,18360112,TMIN,-11,,,E,
ITE00100550,18360112,PRCP,0,,,E,
EZE00100082,18360112,TMAX,-7,,,E,
EZE00100082,18360112,TMIN,-65,,,E,
EZE00100082,18360112,PRCP,0,,,E,
ASN00066046,18360112,PRCP,0,,,a,
BE000006447,18360112,TMAX,66,,,I,
BE000006447,18360112,TMIN,36,,,I,
ITE00100554,18360113,TMAX,8,,,E,
ITE00100554,18360113,TMIN,-14,,,E,
GM000004204,18360113,TMAX,38,,,E,
GM000004204,18360113,TMIN,14,,,E,
GM000004204,18360113,PRCP,7,,,E,
ITE00105250,18360113,PRCP,0,,,E,
ITE00100552,18360113,PRCP,27,,,E,
ITE00100550,18360113,TMAX,33,,,E,
ITE00100550,18360113,TMIN,-10,,,E,
ITE00100550,18360113,PRCP,0,,,E,
EZE00100082,18360113,TMAX,41,,,E,
EZE00100082,18360113,TMIN,-7,,,E,
EZE00100082,18360113,PRCP,0,,,E,
ASN00066046,18360113,PRCP,0,,,a,
BE000006447,18360113,TMAX,66,,,I,
BE000006447,18360113,TMIN,-7,,,I,
